{'ip': '112.64.208.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.46.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.94', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.49.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.69.243', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.64.161.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.45.102', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.124.221', 'other': 'REFUSED', 'type': '3'}
{'ip': '112.65.28.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.103.128', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.161.214', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.240.76', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.240.7', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.133.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.232.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.93.13', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.231.236', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.158.202', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '112.64.144.51', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.65.25', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.111.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.239.226', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.29.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.94.148', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.13.27', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.29.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.67.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.135.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.184.155', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '112.65.51.47', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '112.65.115.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.40.168', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.184.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.103.23', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.213.161', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.52.149', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.241.83', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.65.6.220', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.129.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.100.226', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.91.67', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '210.13.94.234', 'other': 'NOERROR', 'type': '3'}
{'ip': '210.13.67.194', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '210.13.67.194', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '210.13.100.234', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.97.101', 'other': 'NXDOMAIN', 'type': '1'}
