{'ip': '114.240.11.33', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.2', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.101', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.135', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.20', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.164', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.66', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.128', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.197', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.68', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.97', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.169', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.117', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.96', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.146', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.228', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.14', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.127', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.149', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.77', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.240', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.185', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.80', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.94', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.51', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.120', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.58', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.87', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.144', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.142', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.233', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.69', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.131', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.95', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.181', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.246', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.2', 'other': 'SERVFAIL', 'type': '3'}
